#bin	chrom	chromStart	chromEnd	name	length	cpgNum	gcNum	perCpg	perGc	obsExp
596	chr1	1464508	1464806	CpG: 23	298	23	203	15.4	68.1	0.67
596	chr1	1470604	1471450	CpG: 73	846	73	598	17.3	70.7	0.69
596	chr1	1473107	1473342	CpG: 21	235	21	141	17.9	60	1
596	chr1	1474962	1475220	CpG: 32	258	32	180	24.8	69.8	1.02
596	chr1	1476093	1476669	CpG: 55	576	55	427	19.1	74.1	0.7
596	chr1	1489532	1489794	CpG: 25	262	25	180	19.1	68.7	0.81
596	chr1	1496761	1496986	CpG: 16	225	16	129	14.2	57.3	0.89
596	chr1	1509482	1510747	CpG: 159	1265	159	853	25.1	67.4	1.11
596	chr1	1534331	1536136	CpG: 160	1805	160	1013	17.7	56.1	1.13
596	chr1	1550453	1552015	CpG: 180	1562	180	1065	23	68.2	0.99
596	chr1	1558587	1559359	CpG: 73	772	73	552	18.9	71.5	0.74
596	chr1	1560780	1561055	CpG: 27	275	27	198	19.6	72	0.77
596	chr1	1562049	1562398	CpG: 30	349	30	243	17.2	69.6	0.71
596	chr1	1563674	1564032	CpG: 33	358	33	255	18.4	71.2	0.73
596	chr1	1564421	1570006	CpG: 470	5585	470	3910	16.8	70	0.69
596	chr1	1571032	1571470	CpG: 31	438	31	297	14.2	67.8	0.62
597	chr1	1580377	1580595	CpG: 25	218	25	157	22.9	72	0.98
597	chr1	1590073	1590942	CpG: 83	869	83	534	19.1	61.4	1.01
597	chr1	1600981	1601231	CpG: 21	250	21	164	16.8	65.6	0.78
597	chr1	1602391	1602686	CpG: 21	295	21	187	14.2	63.4	0.72
597	chr1	1607898	1608243	CpG: 27	345	27	213	15.7	61.7	0.82
597	chr1	1623610	1625067	CpG: 149	1457	149	960	20.5	65.9	0.94
597	chr1	1631086	1633226	CpG: 173	2140	173	1455	16.2	68	0.7
597	chr1	1634252	1634690	CpG: 31	438	31	297	14.2	67.8	0.62
597	chr1	1643593	1643811	CpG: 25	218	25	157	22.9	72	0.98
597	chr1	1655395	1656231	CpG: 84	836	84	537	20.1	64.2	0.98
597	chr1	1670756	1671101	CpG: 27	345	27	213	15.7	61.7	0.82
597	chr1	1676885	1678333	CpG: 146	1448	146	947	20.2	65.4	0.94
597	chr1	1685373	1685971	CpG: 48	598	48	401	16.1	67.1	0.72
597	chr1	1691767	1692063	CpG: 22	296	22	204	14.9	68.9	0.64
598	chr1	1709394	1710582	CpG: 126	1188	126	733	21.2	61.7	1.12
598	chr1	1713639	1714141	CpG: 45	502	45	349	17.9	69.5	0.74
598	chr1	1821405	1823272	CpG: 187	1867	187	1014	20	54.3	1.36
599	chr1	1839958	1840601	CpG: 78	643	78	477	24.3	74.2	0.89
599	chr1	1850098	1851391	CpG: 120	1293	120	905	18.6	70	0.77
599	chr1	1859246	1859523	CpG: 22	277	22	182	15.9	65.7	0.74
599	chr1	1874715	1875015	CpG: 25	300	25	214	16.7	71.3	0.66
599	chr1	1875617	1875877	CpG: 23	260	23	178	17.7	68.5	0.76
599	chr1	1886344	1886870	CpG: 46	526	46	345	17.5	65.6	0.81
599	chr1	1896414	1896628	CpG: 18	214	18	149	16.8	69.6	0.69
599	chr1	1897581	1897786	CpG: 17	205	17	145	16.6	70.7	0.74
599	chr1	1910268	1913800	CpG: 271	3532	271	2073	15.3	58.7	0.9
599	chr1	1935166	1935452	CpG: 32	286	32	198	22.4	69.2	0.94
599	chr1	1950411	1951479	CpG: 117	1068	117	687	21.9	64.3	1.06
599	chr1	1957046	1957386	CpG: 35	340	35	229	20.6	67.4	0.91
599	chr1	1959414	1959867	CpG: 44	453	44	306	19.4	67.5	0.87
599	chr1	1960942	1961148	CpG: 15	206	15	127	14.6	61.7	0.77
599	chr1	1961407	1961850	CpG: 38	443	38	294	17.2	66.4	0.78
600	chr1	1974686	1974942	CpG: 22	256	22	180	17.2	70.3	0.7
600	chr1	1976123	1976628	CpG: 58	505	58	376	23	74.5	0.84
600	chr1	1981251	1983212	CpG: 195	1961	195	1296	19.9	66.1	0.92
600	chr1	1990779	1991171	CpG: 29	392	29	240	14.8	61.2	0.8
600	chr1	2005179	2005565	CpG: 36	386	36	242	18.7	62.7	0.95
600	chr1	2025205	2026225	CpG: 82	1020	82	700	16.1	68.6	0.68
600	chr1	2038555	2038863	CpG: 21	308	21	197	13.6	64	0.67
600	chr1	2040997	2041302	CpG: 23	305	23	203	15.1	66.6	0.7
600	chr1	2046429	2046865	CpG: 32	436	32	277	14.7	63.5	0.73
600	chr1	2063782	2064052	CpG: 20	270	20	171	14.8	63.3	0.77
600	chr1	2064628	2064855	CpG: 26	227	26	170	22.9	74.9	0.91
600	chr1	2066367	2066666	CpG: 22	299	22	209	14.7	69.9	0.6
600	chr1	2082314	2082529	CpG: 17	215	17	129	15.8	60	0.9
601	chr1	2116432	2116801	CpG: 34	369	34	238	18.4	64.5	0.89
601	chr1	2121017	2121818	CpG: 55	801	55	487	13.7	60.8	0.75
601	chr1	2126048	2126642	CpG: 46	594	46	352	15.5	59.3	0.89
601	chr1	2136808	2137351	CpG: 70	543	70	403	25.8	74.2	0.94
601	chr1	2144199	2144497	CpG: 24	298	24	211	16.1	70.8	0.64
601	chr1	2158212	2161173	CpG: 238	2961	238	1501	16.1	50.7	1.26
601	chr1	2212020	2213881	CpG: 179	1861	179	1176	19.2	63.2	1.08
601	chr1	2222198	2222569	CpG: 26	371	26	225	14	60.6	0.77
602	chr1	2232310	2232617	CpG: 23	307	23	203	15	66.1	0.69
602	chr1	2235308	2235667	CpG: 30	359	30	251	16.7	69.9	0.69
602	chr1	2236442	2239069	CpG: 206	2627	206	1718	15.7	65.4	0.73
602	chr1	2245714	2247086	CpG: 135	1372	135	960	19.7	70	0.8
602	chr1	2249315	2249634	CpG: 27	319	27	229	16.9	71.8	0.66
602	chr1	2253723	2254758	CpG: 75	1035	75	706	14.5	68.2	0.62
602	chr1	2258097	2258423	CpG: 23	326	23	224	14.1	68.7	0.6
602	chr1	2259064	2259326	CpG: 24	262	24	185	18.3	70.6	0.74
602	chr1	2266007	2266432	CpG: 30	425	30	257	14.1	60.5	0.78
602	chr1	2276358	2276657	CpG: 24	299	24	193	16.1	64.5	0.79
602	chr1	2304159	2304376	CpG: 16	217	16	141	14.7	65	0.7
602	chr1	2316353	2316749	CpG: 37	396	37	281	18.7	71	0.75
602	chr1	2322481	2323764	CpG: 146	1283	146	902	22.8	70.3	0.92
602	chr1	2333550	2334172	CpG: 43	622	43	390	13.8	62.7	0.72
602	chr1	2339876	2340246	CpG: 26	370	26	249	14.1	67.3	0.62
602	chr1	2343385	2344717	CpG: 133	1332	133	891	20	66.9	0.9
602	chr1	2345891	2346156	CpG: 19	265	19	163	14.3	61.5	0.76
603	chr1	2359926	2360167	CpG: 24	241	24	170	19.9	70.5	0.8
603	chr1	2371846	2372073	CpG: 17	227	17	153	15	67.4	0.67
603	chr1	2374818	2375814	CpG: 107	996	107	676	21.5	67.9	0.94
603	chr1	2387669	2388086	CpG: 30	417	30	285	14.4	68.3	0.62
603	chr1	2398825	2399055	CpG: 27	230	27	180	23.5	78.3	0.77
603	chr1	2409757	2410049	CpG: 26	292	26	199	17.8	68.2	0.78
603	chr1	2411125	2411404	CpG: 24	279	24	194	17.2	69.5	0.72
603	chr1	2415198	2415506	CpG: 29	308	29	234	18.8	76	0.69
603	chr1	2433648	2434065	CpG: 36	417	36	309	17.3	74.1	0.63
603	chr1	2435041	2435257	CpG: 18	216	18	158	16.7	73.1	0.63
603	chr1	2435554	2435828	CpG: 24	274	24	199	17.5	72.6	0.67
603	chr1	2439797	2440022	CpG: 17	225	17	148	15.1	65.8	0.71
603	chr1	2440126	2440478	CpG: 30	352	30	214	17	60.8	0.92
603	chr1	2445355	2445648	CpG: 24	293	24	195	16.4	66.6	0.75
603	chr1	2449922	2450206	CpG: 25	284	25	190	17.6	66.9	0.82
603	chr1	2451217	2451551	CpG: 29	334	29	230	17.4	68.9	0.74
603	chr1	2452795	2453007	CpG: 16	212	16	147	15.1	69.3	0.63
603	chr1	2457241	2458259	CpG: 100	1018	100	641	19.6	63	1
603	chr1	2460760	2462010	CpG: 105	1250	105	686	16.8	54.9	1.12
603	chr1	2466934	2467212	CpG: 23	278	23	194	16.5	69.8	0.69
603	chr1	2472095	2472586	CpG: 49	491	49	328	20	66.8	0.9
603	chr1	2477563	2478363	CpG: 65	800	65	521	16.2	65.1	0.77
604	chr1	2517397	2518892	CpG: 133	1495	133	928	17.8	62.1	0.92
604	chr1	2527239	2527503	CpG: 20	264	20	185	15.2	70.1	0.63
604	chr1	2537671	2537886	CpG: 19	215	19	142	17.7	66	0.81
604	chr1	2559892	2561055	CpG: 96	1163	96	833	16.5	71.6	0.65
604	chr1	2574030	2574864	CpG: 86	834	86	615	20.6	73.7	0.76
605	chr1	2706025	2706961	CpG: 111	936	111	680	23.7	72.6	0.9
605	chr1	2716741	2717233	CpG: 41	492	41	353	16.7	71.7	0.65
606	chr1	2772126	2772665	CpG: 44	539	44	326	16.3	60.5	0.89
606	chr1	2777157	2777361	CpG: 15	204	15	136	14.7	66.7	0.66
606	chr1	2827785	2828294	CpG: 40	509	40	315	15.7	61.9	0.82
606	chr1	2847056	2847288	CpG: 19	232	19	165	16.4	71.1	0.65
606	chr1	2850665	2850873	CpG: 16	208	16	122	15.4	58.7	0.9
606	chr1	2876545	2876808	CpG: 21	263	21	184	16	70	0.65
607	chr1	2885062	2885284	CpG: 18	222	18	126	16.2	56.8	1.01
607	chr1	2886589	2886923	CpG: 23	334	23	200	13.8	59.9	0.77
607	chr1	2918497	2918753	CpG: 26	256	26	168	20.3	65.6	1.09
607	chr1	2929155	2929376	CpG: 22	221	22	163	19.9	73.8	0.74
607	chr1	2938633	2939043	CpG: 28	410	28	267	13.7	65.1	0.64
607	chr1	2979275	2980758	CpG: 126	1483	126	924	17	62.3	0.88
607	chr1	2983925	2987962	CpG: 406	4037	406	2576	20.1	63.8	0.99
607	chr1	2990030	2990718	CpG: 82	688	82	509	23.8	74	0.87
607	chr1	2997272	2997473	CpG: 15	201	15	122	14.9	60.7	0.81
607	chr1	2999727	2999978	CpG: 19	251	19	171	15.1	68.1	0.65
608	chr1	3028179	3028557	CpG: 30	378	30	238	15.9	63	0.8
608	chr1	3038067	3038343	CpG: 20	276	20	184	14.5	66.7	0.67
608	chr1	3056541	3056772	CpG: 21	231	21	138	18.2	59.7	1.02
608	chr1	3059050	3059268	CpG: 17	218	17	141	15.6	64.7	0.75
608	chr1	3071899	3072239	CpG: 27	340	27	205	15.9	60.3	0.88
608	chr1	3080934	3081292	CpG: 29	358	29	222	16.2	62	0.85
608	chr1	3102540	3103352	CpG: 55	812	55	506	13.5	62.3	0.7
608	chr1	3104956	3105253	CpG: 27	297	27	187	18.2	63	0.93
608	chr1	3111579	3111909	CpG: 25	330	25	212	15.2	64.2	0.74
609	chr1	3147845	3148081	CpG: 19	236	19	149	16.1	63.1	0.81
609	chr1	3155160	3155361	CpG: 18	201	18	139	17.9	69.2	0.76
609	chr1	3157509	3158300	CpG: 61	791	61	541	15.4	68.4	0.66
609	chr1	3163969	3164643	CpG: 65	674	65	457	19.3	67.8	0.84
609	chr1	3182821	3183216	CpG: 33	395	33	260	16.7	65.8	0.78
609	chr1	3184546	3184824	CpG: 26	278	26	182	18.7	65.5	0.87
609	chr1	3195376	3196052	CpG: 47	676	47	455	13.9	67.3	0.61
609	chr1	3203765	3204453	CpG: 61	688	61	468	17.7	68	0.77
609	chr1	3239915	3240261	CpG: 24	346	24	235	13.9	67.9	0.6
609	chr1	3275029	3275284	CpG: 18	255	18	161	14.1	63.1	0.73
610	chr1	3307069	3307285	CpG: 20	216	20	142	18.5	65.7	0.86
610	chr1	3310102	3311035	CpG: 83	933	83	633	17.8	67.8	0.79
610	chr1	3321269	3322310	CpG: 75	1041	75	691	14.4	66.4	0.66
610	chr1	3327991	3329424	CpG: 107	1433	107	966	14.9	67.4	0.67
610	chr1	3331040	3331279	CpG: 19	239	19	164	15.9	68.6	0.68
610	chr1	3331986	3332227	CpG: 19	241	19	151	15.8	62.7	0.8
610	chr1	3342012	3342806	CpG: 52	794	52	503	13.1	63.4	0.66
610	chr1	3351365	3351632	CpG: 23	267	23	183	17.2	68.5	0.74
610	chr1	3370905	3371683	CpG: 82	778	82	518	21.1	66.6	0.95
610	chr1	3394701	3395191	CpG: 34	490	34	328	13.9	66.9	0.62
611	chr1	3425576	3425797	CpG: 21	221	21	152	19	68.8	0.8
611	chr1	3426361	3426570	CpG: 21	209	21	149	20.1	71.3	0.8
611	chr1	3427355	3427683	CpG: 26	328	26	214	15.9	65.2	0.8
611	chr1	3435988	3436250	CpG: 20	262	20	176	15.3	67.2	0.68
611	chr1	3447449	3447950	CpG: 57	501	57	381	22.8	76	0.79
611	chr1	3459874	3460269	CpG: 28	395	28	271	14.2	68.6	0.6
611	chr1	3499902	3500470	CpG: 46	568	46	372	16.2	65.5	0.91
611	chr1	3511709	3512118	CpG: 29	409	29	264	14.2	64.5	0.68
611	chr1	3527619	3528078	CpG: 59	459	59	347	25.7	75.6	0.91
611	chr1	3528333	3528683	CpG: 25	350	25	242	14.3	69.1	0.61
612	chr1	3540767	3542241	CpG: 120	1474	120	814	16.3	55.2	1.07
612	chr1	3556963	3557201	CpG: 18	238	18	171	15.1	71.8	0.61
612	chr1	3559952	3561009	CpG: 113	1057	113	769	21.4	72.8	0.81
612	chr1	3566445	3569636	CpG: 284	3191	284	1988	17.8	62.3	0.92
612	chr1	3607096	3607553	CpG: 40	457	40	295	17.5	64.6	0.85
612	chr1	3623318	3623521	CpG: 15	203	15	143	14.8	70.4	0.63
612	chr1	3634633	3635101	CpG: 32	468	32	314	13.7	67.1	0.61
612	chr1	3649294	3649674	CpG: 36	380	36	266	18.9	70	0.78
612	chr1	3662963	3664085	CpG: 101	1122	101	757	18	67.5	0.8
613	chr1	3688553	3689684	CpG: 92	1131	92	728	16.3	64.4	0.8
613	chr1	3703672	3703908	CpG: 18	236	18	146	15.3	61.9	0.8
613	chr1	3712398	3713234	CpG: 92	836	92	615	22	73.6	0.81
613	chr1	3731458	3732015	CpG: 38	557	38	339	13.6	60.9	0.74
613	chr1	3773187	3774465	CpG: 110	1278	110	843	17.2	66	0.79
613	chr1	3775077	3775369	CpG: 21	292	21	179	14.4	61.3	0.78
613	chr1	3790864	3791611	CpG: 49	747	49	423	13.1	56.6	0.82
614	chr1	3808490	3809236	CpG: 48	746	48	501	12.9	67.2	0.6
614	chr1	3816356	3818084	CpG: 134	1728	134	1170	15.5	67.7	0.68
614	chr1	3824219	3824456	CpG: 18	237	18	145	15.2	61.2	0.82
616	chr1	4192633	4193243	CpG: 41	610	41	359	13.4	58.9	0.78
617	chr1	4221387	4221672	CpG: 23	285	23	189	16.1	66.3	0.74
620	chr1	4713989	4716555	CpG: 232	2566	232	1504	18.1	58.6	1.05
621	chr1	4726576	4726867	CpG: 23	291	23	198	15.8	68	0.87
621	chr1	4771652	4772545	CpG: 67	893	67	588	15	65.8	0.69
621	chr1	4832351	4832553	CpG: 17	202	17	126	16.8	62.4	0.87
629	chr1	5772056	5772513	CpG: 43	457	43	322	18.8	70.5	0.8
629	chr1	5793557	5793784	CpG: 16	227	16	143	14.1	63	0.94
630	chr1	5937157	5937392	CpG: 22	235	22	159	18.7	67.7	0.83
630	chr1	5950824	5951029	CpG: 16	205	16	131	15.6	63.9	0.77
631	chr1	6051595	6052955	CpG: 162	1360	162	968	23.8	71.2	0.94
631	chr1	6086244	6086494	CpG: 20	250	20	167	16	66.8	0.72
631	chr1	6111609	6111836	CpG: 20	227	20	157	17.6	69.2	0.74
631	chr1	6131635	6131985	CpG: 34	350	34	246	19.4	70.3	0.79
632	chr1	6187743	6188235	CpG: 41	492	41	341	16.7	69.3	0.72
632	chr1	6188873	6189120	CpG: 22	247	22	159	17.8	64.4	0.86
632	chr1	6202118	6202359	CpG: 20	241	20	143	16.6	59.3	0.96
632	chr1	6208716	6209039	CpG: 28	323	28	203	17.3	62.8	0.93
632	chr1	6239237	6240814	CpG: 180	1577	180	1098	22.8	69.6	0.95
632	chr1	6241031	6241251	CpG: 17	220	17	129	15.5	58.6	0.9
632	chr1	6259178	6259883	CpG: 66	705	66	481	18.7	68.2	0.81
632	chr1	6265825	6266778	CpG: 96	953	96	687	20.1	72.1	0.78
632	chr1	6268820	6269588	CpG: 88	768	88	531	22.9	69.1	0.96
633	chr1	6295528	6296261	CpG: 74	733	74	428	20.2	58.4	1.19
633	chr1	6301695	6302856	CpG: 111	1161	111	760	19.1	65.5	0.9
633	chr1	6305148	6306463	CpG: 120	1315	120	913	18.3	69.4	0.77
633	chr1	6309163	6310092	CpG: 100	929	100	563	21.5	60.6	1.19
633	chr1	6313761	6314139	CpG: 35	378	35	256	18.5	67.7	0.81
633	chr1	6320137	6320942	CpG: 92	805	92	610	22.9	75.8	0.81
633	chr1	6339948	6340268	CpG: 22	320	22	213	13.8	66.6	0.62
633	chr1	6341136	6341412	CpG: 21	276	21	181	15.2	65.6	0.71
634	chr1	6452814	6454185	CpG: 148	1371	148	910	21.6	66.4	0.99
634	chr1	6479057	6480938	CpG: 180	1881	180	1251	19.1	66.5	0.87
634	chr1	6484503	6485327	CpG: 87	824	87	527	21.1	64	1.03
634	chr1	6500168	6501130	CpG: 87	962	87	584	18.1	60.7	0.98
634	chr1	6507207	6509186	CpG: 156	1979	156	1316	15.8	66.5	0.72
634	chr1	6511689	6512110	CpG: 32	421	32	286	15.2	67.9	0.66
634	chr1	6514108	6516325	CpG: 231	2217	231	1519	20.8	68.5	0.89
634	chr1	6520584	6521955	CpG: 109	1371	109	882	15.9	64.3	0.77
634	chr1	6525996	6526228	CpG: 24	232	24	167	20.7	72	0.82
634	chr1	6530536	6531814	CpG: 104	1278	104	737	16.3	57.7	0.98
634	chr1	6545143	6545559	CpG: 44	416	44	316	21.2	76	0.74
634	chr1	6550083	6551115	CpG: 84	1032	84	705	16.3	68.3	0.7
635	chr1	6557561	6557872	CpG: 34	311	34	233	21.9	74.9	0.78
635	chr1	6614136	6614835	CpG: 68	699	68	428	19.5	61.2	1.05
635	chr1	6639427	6640361	CpG: 80	934	80	624	17.1	66.8	0.77
635	chr1	6653397	6653674	CpG: 23	277	23	181	16.6	65.3	0.78
635	chr1	6659125	6659505	CpG: 27	380	27	246	14.2	64.7	0.68
635	chr1	6661776	6663844	CpG: 224	2068	224	1371	21.7	66.3	0.98
635	chr1	6672786	6675741	CpG: 273	2955	273	1811	18.5	61.3	1
636	chr1	6685071	6685691	CpG: 67	620	67	453	21.6	73.1	0.81
636	chr1	6761295	6762131	CpG: 96	836	96	602	23	72	0.89
637	chr1	6844313	6846366	CpG: 191	2053	191	1238	18.6	60.3	1.02
638	chr1	7022001	7022308	CpG: 23	307	23	200	15	65.1	0.71
639	chr1	7122519	7122727	CpG: 16	208	16	142	15.4	68.3	0.75
643	chr1	7723400	7725175	CpG: 111	1775	111	1147	12.5	64.6	0.61
644	chr1	7740143	7741117	CpG: 107	974	107	671	22	68.9	0.93
644	chr1	7764593	7765856	CpG: 157	1263	157	830	24.9	65.7	1.21
644	chr1	7831378	7831846	CpG: 61	468	61	345	26.1	73.7	0.96
644	chr1	7843460	7843693	CpG: 20	233	20	163	17.2	70	0.7
644	chr1	7843915	7845104	CpG: 110	1189	110	722	18.5	60.7	1
645	chr1	7887198	7887476	CpG: 25	278	25	193	18	69.4	0.79
646	chr1	8002408	8002699	CpG: 31	291	31	198	21.3	68	0.92
