Gene ID	Gene Name 	Periodic Rank	Stage
ENSG00000135842	FAM129A	2.218310906	G1-S
ENSG00000119138	KLF9	2.487891481	G1-S
ENSG00000186767	SPIN4	1.559503143	G1-S
ENSG00000180346	TIGD2	2.4718078	G1-S
ENSG00000135976	ANKRD36	2.125527977	G1-S
ENSG00000176208	ATAD5	2.462011383	G1-S
ENSG00000179104	TMTC2	1.821752696	G1-S
ENSG00000087510	TFAP2C	2.450608427	G1-S
ENSG00000096093	EFHC1	2.462915118	G1-S
ENSG00000182504	CEP97	1.733785454	G1-S
ENSG00000129521	EGLN3	2.499242163	G1-S
ENSG00000213468	RP11-453F18__B.1	2.474839859	G1-S
ENSG00000112541	PDE10A	2.147806231	G1-S
ENSG00000112210	RAB23	2.355126226	G1-S
ENSG00000132109	TRIM21	2.478524435	G1-S
ENSG00000144909	OSBPL11	2.388809985	G1-S
ENSG00000099260	PALMD	2.254486315	G1-S
ENSG00000070476	ZXDC	2.073633284	G1-S
ENSG00000223459	FAM115B	2.45501876	G1-S
ENSG00000152669	CCNO	2.453949237	G1-S
ENSG00000238105	GOLGA2B	1.412996121	G1-S
ENSG00000131779	PEX11B	1.829835537	G1-S
ENSG00000150347	ARID5B	2.185121747	G1-S
ENSG00000197959	DNM3	2.027437024	G1-S
ENSG00000164074	C4orf29	2.361449355	G1-S
ENSG00000112679	DUSP22	2.159646995	G1-S
ENSG00000152242	C18orf25	2.345730741	G1-S
ENSG00000162341	TPCN2	2.449667471	G1-S
ENSG00000125843	AP5S1	2.293301953	G1-S
ENSG00000160298	C21orf58	2.359260654	G1-S
ENSG00000189060	H1F0	2.221495913	G1-S
ENSG00000130349	C6orf203	2.348316972	G1-S
ENSG00000137040	RANBP6	2.437390458	G1-S
ENSG00000112029	FBXO5	2.302816229	G1-S
ENSG00000165434	PGM2L1	2.313800446	G1-S
ENSG00000156973	PDE6D	2.301928651	G1-S
ENSG00000080839	RBL1	2.071138385	G1-S
ENSG00000138346	DNA2	2.477208713	G1-S
ENSG00000162729	IGSF8	2.147190906	G1-S
ENSG00000225138	CTD-2228K2.7	1.648376959	G1-S
ENSG00000101003	GINS1	2.168533347	G1-S
ENSG00000111788	RP11-22B23.1	2.270726283	G1-S
ENSG00000135469	COQ10A	2.379400857	G1-S
ENSG00000140022	STON2	2.253665657	G1-S
ENSG00000164251	F2RL1	2.448508428	G1-S
ENSG00000162869	PPP1R21	2.364019223	G1-S
ENSG00000119760	SUPT7L	2.493275488	G1-S
ENSG00000168071	CCDC88B	2.495657292	G1-S
ENSG00000078246	TULP3	2.462324335	G1-S
ENSG00000134668	SPOCD1	2.196348464	G1-S
ENSG00000099326	MZF1	2.230458609	G1-S
ENSG00000100982	PCIF1	1.963395014	G1-S
ENSG00000104946	TBC1D17	2.40068458	G1-S
ENSG00000172123	SLFN12	2.472034754	G1-S
ENSG00000214826	DDX12P	2.051272461	G1-S
ENSG00000185189	NRBP2	2.353018739	G1-S
ENSG00000143614	GATAD2B	2.401295117	G1-S
ENSG00000105339	DENND3	2.217174235	G1-S
ENSG00000171425	ZNF581	2.465335426	G1-S
ENSG00000104142	VPS18	2.386947818	G1-S
ENSG00000116761	CTH	2.277323793	G1-S
ENSG00000159579	RSPRY1	2.347470884	G1-S
ENSG00000188917	TRMT2B	2.229378814	G1-S
ENSG00000260121	RP5-1142A6.9	2.403619889	G1-S
ENSG00000131437	KIF3A	2.376123294	G1-S
ENSG00000011132	APBA3	2.473969445	G1-S
ENSG00000090989	EXOC1	2.228044427	G1-S
ENSG00000137310	TCF19	1.798943038	G1-S
ENSG00000078269	SYNJ2	2.014674606	G1-S
ENSG00000226752	RP11-27I1.2	2.206652626	G1-S
ENSG00000125962	ARMCX5	1.983651398	G1-S
ENSG00000167595	C19orf55	2.364817689	G1-S
ENSG00000145979	TBC1D7	2.179961786	G1-S
ENSG00000105928	DFNA5	2.470837044	G1-S
ENSG00000132823	C20orf111	2.158121007	G1-S
ENSG00000164402	41525	1.817260426	G1-S
ENSG00000104957	CCDC130	2.274917818	G1-S
ENSG00000074755	ZZEF1	2.474709329	G1-S
ENSG00000204228	HSD17B8	2.272283703	G1-S
ENSG00000108984	MAP2K6	2.05112152	G1-S
ENSG00000204588	AC013268.5	2.369191732	G1-S
ENSG00000101115	SALL4	2.270337975	G1-S
ENSG00000175772	AC112229.7	2.428847514	G1-S
ENSG00000112511	PHF1	2.180171253	G1-S
ENSG00000011105	TSPAN9	2.48424996	G1-S
ENSG00000266173	STRADA	1.97236294	G1-S
ENSG00000101290	CDS2	2.351125936	G1-S
ENSG00000165806	CASP7	2.498383402	G1-S
ENSG00000011198	ABHD5	2.273777947	G1-S
ENSG00000130830	MPP1	2.435674673	G1-S
ENSG00000248092	RP11-159F24.1	2.43758667	G1-S
ENSG00000113269	RNF130	2.249774499	G1-S
ENSG00000007372	PAX6	2.116324011	G1-S
ENSG00000253816	RP11-1415C14.3	2.475439187	G1-S
ENSG00000160959	LRRC14	2.326488535	G1-S
ENSG00000174483	BBS1	2.399134169	G1-S
ENSG00000158552	ZFAND2B	2.27829055	G1-S
ENSG00000106415	GLCCI1	2.34836164	G1-S
ENSG00000054965	FAM168A	2.45866169	G1-S
ENSG00000128191	DGCR8	2.492693027	G1-S
ENSG00000100422	CERK	2.424383136	G1-S
ENSG00000177051	FBXO46	2.309901306	G1-S
ENSG00000119640	ACYP1	2.315003018	G1-S
ENSG00000135968	GCC2	2.242199616	G1-S
ENSG00000002746	HECW1	2.325577045	G1-S
ENSG00000155287	SLC25A28	2.341813531	G1-S
ENSG00000151498	ACAD8	2.452272819	G1-S
ENSG00000090581	GNPTG	2.477990951	G1-S
ENSG00000164366	CCDC127	2.3590644	G1-S
ENSG00000179304	FAM156B	2.202664736	G1-S
ENSG00000106144	CASP2	2.493054422	G1-S
ENSG00000132436	FIGNL1	2.390164974	G1-S
ENSG00000186318	BACE1	2.387357784	G1-S
ENSG00000072195	SPEG	2.45211038	G1-S
ENSG00000149577	SIDT2	2.046259042	G1-S
ENSG00000186166	CCDC84	2.259816301	G1-S
ENSG00000134262	AP4B1	2.390725012	G1-S
ENSG00000144827	ABHD10	2.484251476	G1-S
ENSG00000138018	EPT1	2.41352406	G1-S
ENSG00000173065	FAM222B	2.478933246	G1-S
ENSG00000234147	RP3-460G2.2	2.29982851	G1-S
ENSG00000259328	RP11-152F13.7	2.412265382	G1-S
ENSG00000204237	OXLD1	2.36107951	G1-S
ENSG00000178467	P4HTM	2.272783807	G1-S
ENSG00000197150	ABCB8	2.375010233	G1-S
ENSG00000121940	CLCC1	2.287287242	G1-S
ENSG00000101413	RPRD1B	2.49923004	G1-S
ENSG00000235437	RP11-357C3.3	2.171452251	G1-S
ENSG00000184887	BTBD6	2.484442077	G1-S
ENSG00000106133	NSUN5P2	2.134128531	G1-S
ENSG00000101407	TTI1	2.384668796	G1-S
ENSG00000185591	SP1	2.4140039	G1-S
ENSG00000079432	CIC	2.475699886	G1-S
ENSG00000175455	CCDC14	2.180491768	G1-S
ENSG00000063854	HAGH	2.248873616	G1-S
ENSG00000092758	COL9A3	2.118839073	G1-S
ENSG00000136940	PDCL	1.760477394	G1-S
ENSG00000213551	DNAJC9	2.4004149	G1-S
ENSG00000008853	RHOBTB2	2.495400576	G1-S
ENSG00000171320	ESCO2	2.482218584	G1-S
ENSG00000249115	HAUS5	2.32112467	G1-S
ENSG00000111247	RAD51AP1	2.035603578	G1-S
ENSG00000127419	TMEM175	2.30072999	G1-S
ENSG00000144040	SFXN5	2.269049096	G1-S
ENSG00000185324	CDK10	2.366260717	G1-S
ENSG00000182195	LDOC1	2.234515225	G1-S
ENSG00000254101	RP11-30J20.1	2.208297911	G1-S
ENSG00000120256	LRP11	2.249799687	G1-S
ENSG00000197217	ENTPD4	2.429251201	G1-S
ENSG00000129158	SERGEF	2.428970542	G1-S
ENSG00000139173	TMEM117	2.346436454	G1-S
ENSG00000012963	UBR7	1.889813792	G1-S
ENSG00000173209	AHSA2	2.013219645	G1-S
ENSG00000185222	WBP5	2.291173446	G1-S
ENSG00000039650	PNKP	2.319119548	G1-S
ENSG00000112851	ERBB2IP	2.417689216	G1-S
ENSG00000117461	PIK3R3	2.057810075	G1-S
ENSG00000203950	FAM127B	2.253265177	G1-S
ENSG00000188985	DHFRP1	2.039247853	G1-S
ENSG00000185946	RNPC3	2.261216104	G1-S
ENSG00000112312	GMNN	2.397048833	G1-S
ENSG00000167632	TRAPPC9	2.078098987	G1-S
ENSG00000177225	PDDC1	2.04305572	G1-S
ENSG00000214881	TMEM14D	1.949479201	G1-S
ENSG00000125967	NECAB3	2.230491871	G1-S
ENSG00000205583	STAG3L1	2.490239177	G1-S
ENSG00000167272	POP5	2.431514004	G1-S
ENSG00000124181	PLCG1	2.345665972	G1-S
ENSG00000184831	APOO	2.042241049	G1-S
ENSG00000240344	PPIL3	2.357725652	G1-S
ENSG00000160446	ZDHHC12	2.304084911	G1-S
ENSG00000174353	STAG3L3	2.071186483	G1-S
ENSG00000161888	SPC24	1.766868895	G1-S
ENSG00000146733	PSPH	2.440293392	G1-S
ENSG00000168393	DTYMK	2.332077481	G1-S
ENSG00000155363	MOV10	1.894315838	G1-S
ENSG00000131584	ACAP3	2.08836872	G1-S
ENSG00000140400	MAN2C1	2.128833712	G1-S
ENSG00000104886	PLEKHJ1	2.432165948	G1-S
ENSG00000014138	POLA2	2.223090222	G1-S
ENSG00000161996	WDR90	2.238476494	G1-S
ENSG00000168496	FEN1	2.458857557	G1-S
ENSG00000167615	LENG8	2.018666618	G1-S
ENSG00000140718	FTO	2.397287645	G1-S
ENSG00000233984	RPSAP14	2.456839536	G1-S
ENSG00000116001	TIA1	2.308451128	G1-S
ENSG00000064115	TM7SF3	2.464916783	G1-S
ENSG00000040341	STAU2	2.254415902	G1-S
ENSG00000119986	AVPI1	2.461499132	G1-S
ENSG00000219545	AC006465.3	2.359924386	G1-S
ENSG00000120071	KANSL1	2.487376777	G1-S
ENSG00000124299	PEPD	2.459343022	G1-S
ENSG00000250273	PSMC1P5	2.468162894	G1-S
ENSG00000188846	RPL14	2.452762856	G1-S
ENSG00000229419	RALGAPA1P	2.248929437	G2-M
ENSG00000112144	ICK	2.45726899	G2-M
ENSG00000112624	KIAA0240	2.473022846	G2-M
ENSG00000125945	ZNF436	2.479420588	G2-M
ENSG00000130544	ZNF557	2.394482193	G2-M
ENSG00000125845	BMP2	2.406534506	G2-M
ENSG00000214357	NEURL1B	1.549459229	G2-M
ENSG00000204177	BMS1P1	2.284500446	G2-M
ENSG00000119771	KLHL29	2.479449191	G2-M
ENSG00000095015	MAP3K1	2.228566167	G2-M
ENSG00000188827	SLX4	2.22593376	G2-M
ENSG00000148835	TAF5	2.428113876	G2-M
ENSG00000147041	SYTL5	2.328795549	G2-M
ENSG00000188971	AC114772.1	2.190123796	G2-M
ENSG00000023516	AKAP11	2.197752068	G2-M
ENSG00000149639	SOGA1	1.989565886	G2-M
ENSG00000157077	ZFYVE9	1.957623616	G2-M
ENSG00000168813	ZNF507	2.481743603	G2-M
ENSG00000154511	FAM69A	2.208181526	G2-M
ENSG00000156650	KAT6B	2.450205739	G2-M
ENSG00000171940	ZNF217	2.410252	G2-M
ENSG00000147202	DIAPH2	2.434263657	G2-M
ENSG00000177602	GSG2	2.420369177	G2-M
ENSG00000198865	CCDC152	2.221113393	G2-M
ENSG00000205208	C4orf46	2.491973236	G2-M
ENSG00000162419	GMEB1	2.064007841	G2-M
ENSG00000119888	EPCAM	2.406969	G2-M
ENSG00000215784	FAM72D	1.473970813	G2-M
ENSG00000180340	FZD2	2.388099038	G2-M
ENSG00000019549	SNAI2	2.379664886	G2-M
ENSG00000151458	ANKRD50	2.090232355	G2-M
ENSG00000113838	TBCCD1	2.456180607	G2-M
ENSG00000143479	DYRK3	2.311886974	G2-M
ENSG00000107679	PLEKHA1	2.461549745	G2-M
ENSG00000215717	TMEM167B	2.488798639	G2-M
ENSG00000181467	RAP2B	2.234930764	G2-M
ENSG00000165512	ZNF22	2.384061055	G2-M
ENSG00000178074	C2orf69	2.303444386	G2-M
ENSG00000140534	TICRR	2.139259366	G2-M
ENSG00000075945	KIFAP3	2.390031149	G2-M
ENSG00000143458	GABPB2	2.088779304	G2-M
ENSG00000139718	SETD1B	2.1706429	G2-M
ENSG00000227304	RP11-791G16.2	2.37684319	G2-M
ENSG00000165288	BRWD3	2.282254636	G2-M
ENSG00000001461	NIPAL3	2.336196161	G2-M
ENSG00000101670	LIPG	2.262247426	G2-M
ENSG00000129810	SGOL1	2.369266795	G2-M
ENSG00000156463	SH3RF2	2.026974128	G2-M
ENSG00000106665	CLIP2	2.4474703	G2-M
ENSG00000130347	RTN4IP1	2.379975797	G2-M
ENSG00000163602	RYBP	2.453103194	G2-M
ENSG00000119844	AFTPH	2.478334529	G2-M
ENSG00000136319	TTC5	2.160016043	G2-M
ENSG00000134897	BIVM	2.450455156	G2-M
ENSG00000164654	MIOS	2.299924631	G2-M
ENSG00000159263	SIM2	2.28042246	G2-M
ENSG00000035499	DEPDC1B	2.048803074	G2-M
ENSG00000102580	DNAJC3	2.395300803	G2-M
ENSG00000164379	FOXQ1	2.44125686	G2-M
ENSG00000165118	C9orf64	2.470314861	G2-M
ENSG00000165801	ARHGEF40	2.169004717	G2-M
ENSG00000120549	KIAA1217	2.262394657	G2-M
ENSG00000163659	TIPARP	2.161205818	G2-M
ENSG00000075391	RASAL2	2.048046037	G2-M
ENSG00000198887	SMC5	2.412816948	G2-M
ENSG00000119669	IRF2BPL	2.483165262	G2-M
ENSG00000163346	PBXIP1	2.349753734	G2-M
ENSG00000156603	MED19	2.418400343	G2-M
ENSG00000123643	SLC36A1	2.417689051	G2-M
ENSG00000101844	ATG4A	2.177877667	G2-M
ENSG00000044459	CNTLN	2.290668245	G2-M
ENSG00000119139	TJP2	2.212519124	G2-M
ENSG00000132294	EFR3A	2.467280723	G2-M
ENSG00000100376	FAM118A	2.466901592	G2-M
ENSG00000176124	DLEU1	2.104905648	G2-M
ENSG00000138696	BMPR1B	2.021685245	G2-M
ENSG00000198846	TOX	1.873162751	G2-M
ENSG00000173456	RNF26	2.014115802	G2-M
ENSG00000104147	OIP5	2.394981986	G2-M
ENSG00000174669	SLC29A2	2.496269447	G2-M
ENSG00000108423	TUBD1	2.118051415	G2-M
ENSG00000197971	MBP	2.044106797	G2-M
ENSG00000111145	ELK3	2.188780076	G2-M
ENSG00000064393	HIPK2	2.235529321	G2-M
ENSG00000204899	MZT1	2.003817493	G2-M
ENSG00000121621	KIF18A	2.035242355	G2-M
ENSG00000174197	MGA	2.210768136	G2-M
ENSG00000144460	NYAP2	2.421099893	G2-M
ENSG00000164221	CCDC112	2.247781904	G2-M
ENSG00000114315	HES1	2.333806303	G2-M
ENSG00000149582	TMEM25	2.322332519	G2-M
ENSG00000188483	IER5L	1.900901339	G2-M
ENSG00000188610	FAM72B	2.427438392	G2-M
ENSG00000099219	ERMP1	2.190772152	G2-M
ENSG00000160299	PCNT	2.408505169	G2-M
ENSG00000196935	SRGAP1	2.288081732	G2-M
ENSG00000109674	NEIL3	2.132338108	G2-M
ENSG00000153339	TRAPPC8	2.338787958	G2-M
ENSG00000055917	PUM2	2.377781622	G2-M
ENSG00000229927	RP11-38L15.6	2.49053666	G2-M
ENSG00000095564	BTAF1	2.188778016	G2-M
ENSG00000172728	FUT10	1.981581487	G2-M
ENSG00000172244	C5orf34	2.450201541	G2-M
ENSG00000000460	C1orf112	2.323362643	G2-M
ENSG00000135334	AKIRIN2	2.375180142	G2-M
ENSG00000248323	RP11-213H15.3	2.448938668	G2-M
ENSG00000114251	WNT5A	2.486588253	G2-M
ENSG00000137831	UACA	2.353347082	G2-M
ENSG00000130695	CEP85	2.402083188	G2-M
ENSG00000197056	ZMYM1	1.795019078	G2-M
ENSG00000124459	ZNF45	2.409257515	G2-M
ENSG00000117153	KLHL12	2.327530726	G2-M
ENSG00000150527	CTAGE5	2.278161616	G2-M
ENSG00000120334	CENPL	1.759043415	G2-M
ENSG00000213347	MXD3	2.360285387	G2-M
ENSG00000108469	RECQL5	2.376820317	G2-M
ENSG00000110066	SUV420H1	2.338473907	G2-M
ENSG00000147421	HMBOX1	2.396639897	G2-M
ENSG00000162604	TM2D1	2.270642561	G2-M
ENSG00000224882	IKBKGP1	2.355696938	G2-M
ENSG00000100151	PICK1	2.484775322	G2-M
ENSG00000115977	AAK1	2.086844818	G2-M
ENSG00000204138	PHACTR4	2.400998434	G2-M
ENSG00000136504	KAT7	1.951059881	G2-M
ENSG00000145439	CBR4	2.266051191	G2-M
ENSG00000183856	IQGAP3	1.796703592	G2-M
ENSG00000136002	ARHGEF4	2.421051197	G2-M
ENSG00000070882	OSBPL3	2.479511863	G2-M
ENSG00000103241	FOXF1	2.23851195	G2-M
ENSG00000143093	STRIP1	2.112908028	G2-M
ENSG00000105662	CRTC1	2.39079008	G2-M
ENSG00000005810	MYCBP2	2.409092197	G2-M
ENSG00000123388	HOXC11	2.199729806	G2-M
ENSG00000133812	SBF2	2.402838014	G2-M
ENSG00000109046	WSB1	2.414364293	G2-M
ENSG00000126216	TUBGCP3	2.386686529	G2-M
ENSG00000134996	OSTF1	2.412250779	G2-M
ENSG00000136536	41340	2.495778725	G2-M
ENSG00000118564	FBXL5	2.457737047	G2-M
ENSG00000146830	GIGYF1	2.332282563	G2-M
ENSG00000051825	MPHOSPH9	2.447610083	G2-M
ENSG00000253981	ALG1L13P	2.253604243	G2-M
ENSG00000138760	SCARB2	2.448562453	G2-M
ENSG00000172954	LCLAT1	2.043321107	G2-M
ENSG00000142731	PLK4	2.149612244	G2-M
ENSG00000186185	KIF18B	1.796861462	G2-M
ENSG00000087253	LPCAT2	2.489322023	G2-M
ENSG00000156858	PRR14	2.221971768	G2-M
ENSG00000132763	MMACHC	2.322906122	G2-M
ENSG00000228532	RP1-241P17.4	2.296190166	G2-M
ENSG00000166483	WEE1	2.236169071	G2-M
ENSG00000161692	DBF4B	1.615218297	G2-M
ENSG00000092140	G2E3	1.761771731	G2-M
ENSG00000135749	PCNXL2	2.450742096	G2-M
ENSG00000140853	NLRC5	2.34651562	G2-M
ENSG00000080986	NDC80	1.583690527	G2-M
ENSG00000184897	H1FX	1.718057992	G2-M
ENSG00000243156	MICAL3	2.027067659	G2-M
ENSG00000204397	CARD16	2.430384186	G2-M
ENSG00000130164	LDLR	2.139660721	G2-M
ENSG00000184363	PKP3	2.45431915	G2-M
ENSG00000006634	DBF4	1.76625057	G2-M
ENSG00000136485	DCAF7	2.141614757	G2-M
ENSG00000113391	FAM172A	2.262841162	G2-M
ENSG00000164347	GFM2	2.481317432	G2-M
ENSG00000142252	GEMIN7	2.358612187	G2-M
ENSG00000185033	SEMA4B	2.481436461	G2-M
ENSG00000099250	NRP1	2.119422045	G2-M
ENSG00000105325	FZR1	1.578156077	G2-M
ENSG00000073614	KDM5A	2.485215839	G2-M
ENSG00000173210	ABLIM3	2.376676922	G2-M
ENSG00000066427	ATXN3	2.481107834	G2-M
ENSG00000077380	DYNC1I2	2.245658838	G2-M
ENSG00000187951	ARHGAP11B	1.849976918	G2-M
ENSG00000134318	ROCK2	2.362351815	G2-M
ENSG00000198586	TLK1	2.37269595	G2-M
ENSG00000104064	GABPB1	2.205582026	G2-M
ENSG00000105443	CYTH2	2.397154447	G2-M
ENSG00000236933	RP11-439A17.7	2.361708241	G2-M
ENSG00000085276	MECOM	2.348239395	G2-M
ENSG00000124788	ATXN1	2.121986573	G2-M
ENSG00000166747	AP1G1	2.484392823	G2-M
ENSG00000163486	SRGAP2	1.99341011	G2-M
ENSG00000184661	CDCA2	2.229008138	G2-M
ENSG00000170037	CNTROB	2.312234515	G2-M
ENSG00000005156	LIG3	2.126803365	G2-M
ENSG00000123485	HJURP	1.464487403	G2-M
ENSG00000183963	SMTN	2.136649973	G2-M
ENSG00000119977	TCTN3	2.247905404	G2-M
ENSG00000162599	NFIA	1.930038105	G2-M
ENSG00000136861	CDK5RAP2	2.310836888	G2-M
ENSG00000121152	NCAPH	2.268107988	G2-M
ENSG00000138162	TACC2	2.478775379	G2-M
ENSG00000106355	LSM5	2.445087171	G2-M
ENSG00000214114	MYCBP	2.270054449	G2-M
ENSG00000251562	MALAT1	2.481190789	G2-M
ENSG00000101447	FAM83D	1.389224608	G2-M
ENSG00000145725	PPIP5K2	2.245132647	G2-M
ENSG00000134851	TMEM165	2.351410207	G2-M
ENSG00000177426	TGIF1	2.242904946	G2-M
ENSG00000140451	PIF1	1.938925431	G2-M
ENSG00000237649	KIFC1	1.765467257	G2-M
ENSG00000131374	TBC1D5	2.367901363	G2-M
ENSG00000151012	SLC7A11	2.47949437	G2-M
ENSG00000134222	PSRC1	1.014644317	G2-M
ENSG00000120137	PANK3	2.187405786	G2-M
ENSG00000146648	EGFR	2.431977697	G2-M
ENSG00000001084	GCLC	2.436965255	G2-M
ENSG00000123545	NDUFAF4	2.476045229	G2-M
ENSG00000174446	SNAPC5	2.490950696	G2-M
ENSG00000158169	FANCC	2.4879277	G2-M
ENSG00000093167	LRRFIP2	2.292077152	G2-M
ENSG00000197912	SPG7	2.443163587	G2-M
ENSG00000058272	PPP1R12A	2.460770566	G2-M
ENSG00000172493	AFF1	1.959169367	G2-M
ENSG00000109685	WHSC1	2.440647276	G2-M
ENSG00000101871	MID1	2.31073288	G2-M
ENSG00000186260	MKL2	2.077924085	G2-M
ENSG00000121716	PILRB	2.179973688	G2-M
ENSG00000185262	FAM100B	1.934461659	G2-M
ENSG00000180818	HOXC10	2.38248674	G2-M
ENSG00000137936	BCAR3	2.464968993	G2-M
ENSG00000221926	TRIM16	2.485412877	G2-M
ENSG00000132002	DNAJB1	2.444922404	G2-M
ENSG00000170921	TANC2	2.251655495	G2-M
ENSG00000108448	TRIM16L	2.451397945	G2-M
ENSG00000149503	INCENP	1.700353136	G2-M
ENSG00000163697	APBB2	2.424502945	G2-M
ENSG00000074657	ZNF532	2.287834861	G2-M
ENSG00000168502	SOGA2	1.865927285	G2-M
ENSG00000147408	CSGALNACT1	2.277191984	G2-M
ENSG00000122497	NBPF14	2.217316083	G2-M
ENSG00000163386	NBPF10	2.079987232	G2-M
ENSG00000105722	ERF	2.467576038	G2-M
ENSG00000170312	CDK1	1.988905014	G2-M
ENSG00000145819	ARHGAP26	2.468457089	G2-M
ENSG00000128510	CPA4	1.974314365	G2-M
ENSG00000178999	AURKB	1.800341508	G2-M
ENSG00000075223	SEMA3C	1.953817224	G2-M
ENSG00000161800	RACGAP1	1.805648081	G2-M
ENSG00000171456	ASXL1	2.411138307	G2-M
ENSG00000105825	TFPI2	2.436065613	G2-M
ENSG00000249859	PVT1	2.324511962	G2-M
ENSG00000196369	SRGAP2B	2.093956227	G2-M
ENSG00000225976	RP11-192N10.2	2.092088131	G2-M
